Date,Close,ma5,ma20,ma60
2019-05-29,229.5,230.8,245.925,247.475
2019-05-30,231.0,231.0,244.525,247.4
2019-05-31,235.5,231.5,243.05,247.44166666666666
2019-06-03,238.0,232.9,242.0,247.50833333333333
2019-06-04,233.0,233.4,240.525,247.49166666666667
2019-06-05,235.0,234.5,239.275,247.575
2019-06-06,232.0,234.7,238.05,247.6
2019-06-10,240.0,235.6,237.25,247.675
2019-06-11,244.5,236.9,236.95,247.8
2019-06-12,246.0,239.5,236.825,247.99166666666667
2019-06-13,240.0,240.5,236.375,248.00833333333333
2019-06-14,236.0,241.3,235.825,247.925
2019-06-17,233.0,239.9,235.4,247.8
2019-06-18,235.5,238.1,235.275,247.69166666666666
2019-06-19,244.0,237.7,235.775,247.66666666666666
2019-06-20,245.0,238.7,236.125,247.60833333333332
2019-06-21,248.5,241.2,237.05,247.725
2019-06-24,241.0,242.8,237.45,247.675
2019-06-25,238.5,243.4,237.825,247.625
2019-06-26,234.5,241.5,238.025,247.5
2019-06-27,240.5,240.6,238.575,247.41666666666666
2019-06-28,239.0,238.7,238.975,247.30833333333334
2019-07-01,248.5,240.2,239.625,247.35
2019-07-02,249.0,242.3,240.175,247.39166666666668
2019-07-03,242.5,243.9,240.65,247.21666666666667
2019-07-04,244.0,244.6,241.1,247.05
2019-07-05,243.0,245.4,241.65,246.86666666666667
2019-07-08,242.5,244.2,241.775,246.70833333333334
2019-07-09,242.0,242.8,241.65,246.54166666666666
2019-07-10,247.0,243.7,241.7,246.4
2019-07-11,250.0,244.9,242.2,246.28333333333333
2019-07-12,250.5,246.4,242.925,246.1
2019-07-15,254.5,248.8,244.0,245.93333333333334
2019-07-16,256.0,251.6,245.025,245.79166666666666
2019-07-17,252.0,252.6,245.425,245.55833333333334
2019-07-18,254.0,253.4,245.875,245.325
2019-07-19,259.0,255.1,246.4,245.15833333333333
2019-07-22,264.0,257.0,247.55,245.1
2019-07-23,264.0,258.6,248.825,245.16666666666666
2019-07-24,265.0,261.2,250.35,245.25833333333333
2019-07-25,265.0,263.4,251.575,245.35833333333332
2019-07-26,261.0,263.8,252.675,245.39166666666668
2019-07-29,261.0,263.2,253.3,245.325
2019-07-30,260.0,262.4,253.85,245.34166666666667
2019-07-31,259.5,261.3,254.7,245.29166666666666
2019-08-01,256.5,259.6,255.325,245.23333333333332
2019-08-02,251.5,257.7,255.75,245.15
2019-08-05,246.5,254.8,255.95,244.99166666666667
2019-08-06,248.5,252.5,256.275,244.95833333333334
2019-08-07,248.0,250.2,256.325,244.95
2019-08-08,253.5,249.6,256.5,245.025
2019-08-12,251.0,249.5,256.525,245.09166666666667
2019-08-13,246.5,249.5,256.125,245.175
2019-08-14,249.5,249.7,255.8,245.36666666666667
2019-08-15,248.0,249.7,255.6,245.6
2019-08-16,250.0,249.0,255.4,245.8
2019-08-19,252.0,249.2,255.05,246.16666666666666
2019-08-20,254.5,250.8,254.575,246.525
2019-08-21,254.5,251.8,254.1,246.91666666666666
2019-08-22,254.0,253.0,253.55,247.30833333333334
2019-08-23,254.0,253.8,253.0,247.71666666666667
2019-08-26,248.5,253.1,252.375,248.00833333333333
2019-08-27,250.0,252.2,251.825,248.25
2019-08-28,252.0,251.7,251.425,248.48333333333332
2019-08-29,254.0,251.7,251.15,248.83333333333334
2019-08-30,259.0,252.7,251.275,249.23333333333332
2019-09-02,257.5,254.5,251.575,249.65833333333333
2019-09-03,254.0,255.3,251.95,249.89166666666668
2019-09-04,257.5,256.4,252.4,250.10833333333332
2019-09-05,263.0,258.2,253.15,250.39166666666668
2019-09-06,263.5,259.1,253.65,250.78333333333333
2019-09-10,261.5,259.9,254.175,251.20833333333334
2019-09-11,263.0,261.7,255.0,251.70833333333334
2019-09-12,262.5,262.7,255.65,252.15833333333333
